fen,type,wdl,dtz,num_pieces,turn
8/8/8/8/6k1/2K5/8/8 b - - 0 1,K vs k,0,0,2,0
2k3R1/8/8/1n5Q/8/8/8/1K6 b - - 0 1,Q+R vs k+n,-2,-2,5,0
8/8/8/7k/8/1q6/1K6/6b1 w - - 0 1,K vs k+q+b,0,0,4,1
8/3K4/8/8/8/4k3/8/8 b - - 0 1,K vs k,0,0,2,0
k7/8/p7/8/5K2/8/8/8 w - - 0 1,K vs k+p,0,0,3,1
8/8/5r2/8/7K/8/8/1Nk5 w - - 0 1,N vs k+r,0,0,4,1
8/3K4/B7/8/8/1b4k1/8/3r4 w - - 0 1,B vs k+r+b,-2,-24,5,1
8/5k1K/8/n7/8/5p2/4P3/8 w - - 0 1,P vs k+n+p,0,0,5,1
8/8/1K5k/2n5/3Q4/8/8/8 w - - 0 1,Q vs k+n,2,1,4,1
8/8/1k6/8/8/3p4/5N2/6K1 b - - 0 1,N vs k+p,0,0,4,0
4k3/8/8/8/K7/8/8/8 w - - 0 1,K vs k,0,0,2,1
2p1K1RB/8/8/8/8/k7/8/8 w - - 0 1,R+B vs k+p,2,9,5,1
6K1/5R2/R6p/8/8/b3k3/8/8 w - - 0 1,2R vs k+b+p,2,1,6,1
8/3k4/8/8/K7/8/1b6/8 b - - 0 1,K vs k+b,0,0,3,0
8/1K6/8/8/8/8/7k/8 b - - 0 1,K vs k,0,0,2,0
3k1R1K/8/8/8/8/8/8/8 b - - 0 1,R vs k,-2,-28,3,0
8/8/8/8/K2k4/8/8/8 w - - 0 1,K vs k,0,0,2,1
5k2/8/8/8/8/6K1/8/8 w - - 0 1,K vs k,0,0,2,1
8/8/4q1B1/8/7K/8/8/6k1 w - - 0 1,B vs k+q,-2,-16,4,1
8/4k3/7n/3Q4/8/8/8/5K1q b - - 0 1,Q vs k+q+n,2,1,5,0
8/2k5/8/8/8/8/4K3/8 b - - 0 1,K vs k,0,0,2,0
8/3R4/1K6/8/8/8/7k/8 b - - 0 1,R vs k,-2,-24,3,0
1P6/4k3/8/8/8/8/4K3/8 b - - 0 1,P vs k,0,0,3,0
8/6k1/8/8/8/5B2/K7/8 b - - 0 1,B vs k,0,0,3,0
5Q2/5P2/8/8/7k/8/K7/p7 b - - 0 1,Q+P vs k+p,-2,-2,5,0
8/2K5/8/2k5/8/8/8/8 w - - 0 1,K vs k,0,0,2,1
8/8/8/5k2/8/8/1K6/8 w - - 0 1,K vs k,0,0,2,1
3K4/8/8/8/k7/8/8/8 b - - 0 1,K vs k,0,0,2,0
4p2K/8/k7/1p6/8/6b1/8/8 b - - 0 1,K vs k+b+2p,2,1,5,0
8/r7/8/4K3/2k5/8/8/8 w - - 0 1,K vs k+r,-2,-24,3,1
8/7k/8/8/5K2/8/8/8 w - - 0 1,K vs k,0,0,2,1
3k4/4R3/8/8/8/8/K7/8 b - - 0 1,R vs k,0,0,3,0
8/8/8/6k1/8/6K1/1b6/8 w - - 0 1,K vs k+b,0,0,3,1
8/8/8/1K3k2/8/8/8/8 w - - 0 1,K vs k,0,0,2,1
8/6k1/8/1r2B3/8/8/8/4K3 b - - 0 1,B vs k+r,2,1,4,0
6K1/8/4k3/8/7P/8/8/8 b - - 0 1,P vs k,0,0,3,0
8/1k5K/8/8/8/8/8/8 b - - 0 1,K vs k,0,0,2,0
